
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:57 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 15 2023,SPX230915C02725000,0,0,1432.2,1437.3,0,0.3612,0.9731,0.0001,0,2725.00,SPX230915P02725000,14.27,0,11,11.3,0,0.3634,-0.028,0.0001,1317
Fri Sep 15 2023,SPX230915C02750000,1293.19,0,1408.2,1413.3,0,0.3573,0.9719,0.0001,1,2750.00,SPX230915P02750000,11.6,-0.9,11.5,11.7,18,0.3594,-0.0293,0.0001,1608
Fri Sep 15 2023,SPX230915C02775000,1209.99,0,1384.2,1389.3,0,0.3532,0.9706,0.0001,1,2775.00,SPX230915P02775000,12.08,-0.92,11.9,12.2,1,0.3552,-0.0306,0.0001,967
Fri Sep 15 2023,SPX230915C02800000,1264.37,0,1360.2,1365.3,0,0.3491,0.9692,0.0001,22,2800.00,SPX230915P02800000,13.07,-0.43,12.4,12.7,6002,0.3512,-0.032,0.0001,19876
Fri Sep 15 2023,SPX230915C02825000,0,0,1336.2,1341.4,0,0.3452,0.9677,0.0001,20,2825.00,SPX230915P02825000,14.46,0,12.9,13.2,0,0.3471,-0.0335,0.0001,1173
Fri Sep 15 2023,SPX230915C02850000,0,0,1312.3,1317.4,0,0.3412,0.9662,0.0001,17,2850.00,SPX230915P02850000,13.73,-0.87,13.5,13.8,1,0.3434,-0.035,0.0001,10900
Fri Sep 15 2023,SPX230915C02875000,0,0,1288.4,1293.5,0,0.3373,0.9646,0.0001,10,2875.00,SPX230915P02875000,13.94,-1.31,14,14.3,10,0.3392,-0.0366,0.0001,1080
Fri Sep 15 2023,SPX230915C02900000,0,0,1264.6,1269.7,0,0.3338,0.9628,0.0001,0,2900.00,SPX230915P02900000,15.32,-0.58,14.6,14.9,12000,0.3353,-0.0383,0.0001,29025
Fri Sep 15 2023,SPX230915C02925000,0,0,1240.8,1245.8,0,0.3299,0.961,0.0001,0,2925.00,SPX230915P02925000,18.5,0,15.2,15.5,0,0.3313,-0.0402,0.0001,1590
Fri Sep 15 2023,SPX230915C02950000,0,0,1217,1222,0,0.3262,0.9591,0.0001,0,2950.00,SPX230915P02950000,16.67,-0.58,15.9,16.2,3,0.3277,-0.0421,0.0001,6621
Fri Sep 15 2023,SPX230915C02975000,0,0,1193.2,1198.3,0,0.3226,0.9571,0.0001,0,2975.00,SPX230915P02975000,17.9,0,16.6,16.9,0,0.3239,-0.0441,0.0001,997
Fri Sep 15 2023,SPX230915C03000000,1161.8,2.25,1169.5,1174.6,4,0.319,0.9549,0.0001,63,3000.00,SPX230915P03000000,17.2,-1.65,17.4,17.7,6359,0.3204,-0.0462,0.0001,27348
Fri Sep 15 2023,SPX230915C03025000,0,0,1145.8,1150.9,0,0.3153,0.9527,0.0001,0,3025.00,SPX230915P03025000,17.95,-1.7,18.1,18.4,9,0.3165,-0.0485,0.0001,2043
Fri Sep 15 2023,SPX230915C03050000,0,0,1122.2,1127.2,0,0.3117,0.9502,0.0001,0,3050.00,SPX230915P03050000,18.79,-1.76,19,19.3,10,0.3131,-0.0509,0.0001,3316
Fri Sep 15 2023,SPX230915C03075000,0,0,1098.6,1103.6,0,0.3081,0.9477,0.0001,0,3075.00,SPX230915P03075000,20.07,-1.38,19.8,20.1,1,0.3093,-0.0535,0.0001,1352
Fri Sep 15 2023,SPX230915C03100000,0,0,1075.1,1080.1,0,0.3048,0.945,0.0001,4,3100.00,SPX230915P03100000,20.7,-1.75,20.8,21.1,43,0.306,-0.0562,0.0001,11684
Fri Sep 15 2023,SPX230915C03125000,0,0,1051.6,1056.6,0,0.3013,0.9421,0.0001,0,3125.00,SPX230915P03125000,23.5,0,21.8,22.1,0,0.3024,-0.059,0.0001,1013
Fri Sep 15 2023,SPX230915C03150000,0,0,1028.2,1033.2,0,0.2979,0.9391,0.0001,1,3150.00,SPX230915P03150000,22.6,-2.05,22.8,23.1,36,0.299,-0.0621,0.0001,4259
Fri Sep 15 2023,SPX230915C03175000,927.49,0,1004.9,1009.8,0,0.2946,0.9359,0.0002,80,3175.00,SPX230915P03175000,25.13,0,23.9,24.2,0,0.2956,-0.0653,0.0002,1957
Fri Sep 15 2023,SPX230915C03200000,894.17,0,981.6,986.5,0,0.2913,0.9325,0.0002,472,3200.00,SPX230915P03200000,25,-2.1,25.1,25.4,2060,0.2924,-0.0687,0.0002,27884
Fri Sep 15 2023,SPX230915C03225000,826.42,0,958.4,963.3,0,0.2881,0.9289,0.0002,40,3225.00,SPX230915P03225000,25.89,-2.56,26.3,26.6,1,0.2889,-0.0723,0.0002,1667
Fri Sep 15 2023,SPX230915C03250000,0,0,935.2,940.1,0,0.2847,0.9251,0.0002,11,3250.00,SPX230915P03250000,29.9,0,27.6,28,0,0.2858,-0.0761,0.0002,10677
Fri Sep 15 2023,SPX230915C03275000,0,0,912.2,917.1,0,0.2816,0.9211,0.0002,0,3275.00,SPX230915P03275000,31.4,0,29.1,29.4,0,0.2827,-0.0801,0.0002,3921
Fri Sep 15 2023,SPX230915C03300000,738.54,0,889.2,894.1,0,0.2786,0.9168,0.0002,12,3300.00,SPX230915P03300000,30.43,-2.47,30.5,30.9,28,0.2794,-0.0844,0.0002,29653
Fri Sep 15 2023,SPX230915C03325000,0,0,866.4,871.2,0,0.2756,0.9124,0.0002,17,3325.00,SPX230915P03325000,31.75,-2.95,32.1,32.4,282,0.2763,-0.0888,0.0002,1407
Fri Sep 15 2023,SPX230915C03330000,0,0,861.8,866.6,0,0.2749,0.9114,0.0002,0,3330.00,SPX230915P03330000,40.06,0,32.4,32.8,0,0.2757,-0.0898,0.0002,31
Fri Sep 15 2023,SPX230915C03340000,0,0,852.7,857.5,0,0.2737,0.9095,0.0002,0,3340.00,SPX230915P03340000,40.73,0,33.1,33.4,0,0.2744,-0.0916,0.0002,27
Fri Sep 15 2023,SPX230915C03350000,736.43,0,843.6,848.4,0,0.2725,0.9076,0.0002,3,3350.00,SPX230915P03350000,33.36,-3.09,33.8,34.1,3,0.2733,-0.0936,0.0002,10140
Fri Sep 15 2023,SPX230915C03360000,0,0,834.5,839.3,0,0.2713,0.9056,0.0002,0,3360.00,SPX230915P03360000,38.75,0,34.5,34.9,0,0.2722,-0.0955,0.0002,65
Fri Sep 15 2023,SPX230915C03370000,0,0,825.5,830.2,0,0.2701,0.9036,0.0002,0,3370.00,SPX230915P03370000,43.18,0,35.2,35.6,0,0.2709,-0.0975,0.0002,54
Fri Sep 15 2023,SPX230915C03375000,687.85,0,821,825.7,0,0.2696,0.9026,0.0002,40,3375.00,SPX230915P03375000,35.72,-2.63,35.6,36,117,0.2704,-0.0986,0.0002,6089
Fri Sep 15 2023,SPX230915C03380000,0,0,816.4,821.2,0,0.2689,0.9016,0.0002,0,3380.00,SPX230915P03380000,47.5,0,36,36.2,0,0.2696,-0.0996,0.0002,17
Fri Sep 15 2023,SPX230915C03390000,0,0,807.4,812.1,0,0.2677,0.8995,0.0002,0,3390.00,SPX230915P03390000,39.97,0,36.7,37,0,0.2684,-0.1017,0.0002,27
Fri Sep 15 2023,SPX230915C03400000,698,0,798.4,803.1,0,0.2666,0.8974,0.0002,97,3400.00,SPX230915P03400000,37.33,-3.02,37.5,37.9,1475,0.2674,-0.1038,0.0002,17972
Fri Sep 15 2023,SPX230915C03410000,0,0,789.4,794.1,0,0.2654,0.8952,0.0003,0,3410.00,SPX230915P03410000,41.4,0,38.3,38.7,0,0.2663,-0.106,0.0003,25
Fri Sep 15 2023,SPX230915C03420000,0,0,780.5,785.1,0,0.2643,0.8929,0.0003,0,3420.00,SPX230915P03420000,39.15,-2.95,39.1,39.5,18,0.2651,-0.1082,0.0003,55
Fri Sep 15 2023,SPX230915C03425000,694.56,0,776,780.7,0,0.2638,0.8918,0.0003,4,3425.00,SPX230915P03425000,38.94,-3.61,39.5,39.9,270,0.2645,-0.1094,0.0003,4707
Fri Sep 15 2023,SPX230915C03430000,0,0,771.5,776.2,0,0.2632,0.8907,0.0003,0,3430.00,SPX230915P03430000,46.74,0,39.9,40.3,0,0.2638,-0.1105,0.0003,93
Fri Sep 15 2023,SPX230915C03440000,0,0,762.6,767.2,0,0.262,0.8883,0.0003,0,3440.00,SPX230915P03440000,40.14,-3.76,40.7,41,6,0.2625,-0.1128,0.0003,26
Fri Sep 15 2023,SPX230915C03450000,671.02,0,753.7,758.3,0,0.2609,0.886,0.0003,29,3450.00,SPX230915P03450000,41.72,-3.03,41.6,41.9,45,0.2614,-0.1152,0.0003,4537
Fri Sep 15 2023,SPX230915C03460000,0,0,744.8,749.4,0,0.2597,0.8836,0.0003,0,3460.00,SPX230915P03460000,49.72,0,42.5,42.9,0,0.2604,-0.1176,0.0003,37
Fri Sep 15 2023,SPX230915C03470000,0,0,735.9,740.5,0,0.2585,0.8811,0.0003,0,3470.00,SPX230915P03470000,50.72,0,43.4,43.7,0,0.2591,-0.1201,0.0003,45
Fri Sep 15 2023,SPX230915C03475000,644.27,0,731.5,736.1,0,0.258,0.8798,0.0003,59,3475.00,SPX230915P03475000,43.27,-3.93,43.8,44.2,9,0.2585,-0.1214,0.0003,2936
Fri Sep 15 2023,SPX230915C03480000,0,0,727.1,731.7,0,0.2575,0.8786,0.0003,0,3480.00,SPX230915P03480000,53.2,0,44.3,44.6,0,0.2579,-0.1226,0.0003,11
Fri Sep 15 2023,SPX230915C03490000,0,0,718.3,722.8,0,0.2564,0.876,0.0003,0,3490.00,SPX230915P03490000,44.6,-4.1,45.3,45.7,3,0.257,-0.1252,0.0003,55
Fri Sep 15 2023,SPX230915C03500000,703.12,0,709.5,714,0,0.2552,0.8734,0.0003,977,3500.00,SPX230915P03500000,45.5,-4.2,46.2,46.6,2228,0.2557,-0.1278,0.0003,36539
Fri Sep 15 2023,SPX230915C03510000,0,0,700.7,705.2,0,0.2541,0.8707,0.0003,0,3510.00,SPX230915P03510000,46.5,-4.3,47.2,47.6,203,0.2546,-0.1305,0.0003,233
Fri Sep 15 2023,SPX230915C03520000,0,0,691.9,696.5,0,0.253,0.868,0.0003,0,3520.00,SPX230915P03520000,56.09,0,48.2,48.6,0,0.2534,-0.1332,0.0003,21
Fri Sep 15 2023,SPX230915C03525000,594.23,0,687.6,692.1,0,0.2525,0.8666,0.0003,22,3525.00,SPX230915P03525000,48.2,-4.2,48.7,49.2,10,0.2529,-0.1346,0.0003,4267
Fri Sep 15 2023,SPX230915C03530000,0,0,683.2,687.7,0,0.2519,0.8652,0.0003,0,3530.00,SPX230915P03530000,53.5,0,49.3,49.6,0,0.2523,-0.136,0.0003,38
Fri Sep 15 2023,SPX230915C03540000,642.71,0,674.5,679,0,0.2508,0.8623,0.0003,1,3540.00,SPX230915P03540000,54.5,0,50.3,50.7,0,0.2512,-0.1389,0.0003,101
Fri Sep 15 2023,SPX230915C03550000,650.41,0,665.8,670.3,0,0.2497,0.8594,0.0003,67,3550.00,SPX230915P03550000,51.3,-3.9,51.4,51.8,27,0.2501,-0.1418,0.0003,6347
Fri Sep 15 2023,SPX230915C03560000,0,0,657.2,661.6,0,0.2486,0.8565,0.0003,0,3560.00,SPX230915P03560000,51.7,-4.7,52.5,53,2,0.249,-0.1447,0.0003,143
Fri Sep 15 2023,SPX230915C03570000,641.05,0,648.5,653,0,0.2475,0.8535,0.0004,2,3570.00,SPX230915P03570000,57.97,0,53.7,54.1,0,0.248,-0.1477,0.0004,67
Fri Sep 15 2023,SPX230915C03575000,627.61,0,644.2,648.7,0,0.247,0.8519,0.0004,963,3575.00,SPX230915P03575000,53.41,-4.84,54.2,54.7,330,0.2474,-0.1492,0.0004,5514
Fri Sep 15 2023,SPX230915C03580000,618.81,0,639.9,644.4,0,0.2465,0.8504,0.0004,1,3580.00,SPX230915P03580000,57.34,-1.56,54.8,55.3,4,0.2468,-0.1508,0.0004,263
Fri Sep 15 2023,SPX230915C03590000,0,0,631.3,635.8,0,0.2454,0.8473,0.0004,0,3590.00,SPX230915P03590000,55.11,-5.04,56,56.5,4,0.2458,-0.1539,0.0004,90
Fri Sep 15 2023,SPX230915C03600000,619.81,4.41,623.6,626.5,60,0.2444,0.8441,0.0004,2571,3600.00,SPX230915P03600000,56.32,-5.08,57.2,57.7,134,0.2446,-0.1571,0.0004,22776
Fri Sep 15 2023,SPX230915C03610000,0,0,614.3,618.6,0,0.2432,0.8408,0.0004,0,3610.00,SPX230915P03610000,62.71,0,58.5,59,0,0.2436,-0.1604,0.0004,188
Fri Sep 15 2023,SPX230915C03620000,623,0,605.8,610.1,0,0.2422,0.8375,0.0004,2,3620.00,SPX230915P03620000,62.07,-2.03,59.7,60.2,18,0.2424,-0.1637,0.0004,6
Fri Sep 15 2023,SPX230915C03625000,598.56,4.16,602.3,605.2,60,0.2417,0.8358,0.0004,1386,3625.00,SPX230915P03625000,59.42,-5.33,60.4,60.9,103,0.242,-0.1654,0.0004,3039
Fri Sep 15 2023,SPX230915C03630000,518.2,0,597.3,601.6,0,0.241,0.8341,0.0004,1,3630.00,SPX230915P03630000,70.73,0,61,61.5,0,0.2413,-0.1671,0.0004,209
Fri Sep 15 2023,SPX230915C03640000,0,0,588.8,593.2,0,0.24,0.8307,0.0004,0,3640.00,SPX230915P03640000,64.57,-2.33,62.4,62.9,1,0.2404,-0.1705,0.0004,426
Fri Sep 15 2023,SPX230915C03650000,598.53,0,580.4,584.7,0,0.2389,0.8272,0.0004,1519,3650.00,SPX230915P03650000,62.67,-5.63,63.7,64.2,570,0.2392,-0.174,0.0004,13035
Fri Sep 15 2023,SPX230915C03660000,448.76,0,572,576.3,0,0.2378,0.8236,0.0004,0,3660.00,SPX230915P03660000,65.4,-4.35,65.1,65.6,3,0.2381,-0.1776,0.0004,448
Fri Sep 15 2023,SPX230915C03670000,554.44,0,563.7,567.9,0,0.2367,0.82,0.0004,2,3670.00,SPX230915P03670000,77.6,0,66.5,67,0,0.237,-0.1812,0.0004,175
Fri Sep 15 2023,SPX230915C03675000,565.94,13.34,559.5,563.8,12,0.2362,0.8181,0.0004,1174,3675.00,SPX230915P03675000,66.78,-5.22,67.2,67.8,11,0.2365,-0.1831,0.0004,3634
Fri Sep 15 2023,SPX230915C03680000,0,0,555.4,559.6,0,0.2357,0.8162,0.0004,0,3680.00,SPX230915P03680000,78.6,0,68,68.5,0,0.236,-0.1849,0.0004,382
